id,cluster_id,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
6408,9,6.422258854,large_utility,2000.0,0.268,4688248.963,5320000000
6409,9,6.422258854,small_residential,0.005,0.268,11.72062241,13300
6410,9,6.493673801,small_residential,0.005,0.271,11.85095469,13300
6411,9,6.493673801,medium_residential,0.01,0.271,23.70190937,26600
6412,9,6.483608246,medium_utility,500.0,0.27,1183258.505,1330000000
6413,9,6.483608246,small_community,0.15,0.27,354.9775515,399000
6414,9,6.481457233,large_utility,2000.0,0.27,4731463.78,5320000000
6415,9,6.454293728,medium_residential,0.01,0.269,23.55817211,26600
6416,9,6.454293728,large_community,5.0,0.269,11779.08605,13300000
6417,9,6.450787067,medium_utility,500.0,0.269,1177268.64,1330000000
6418,9,6.450787067,large_residential,0.015,0.269,35.31805919,39900
6419,9,6.458303452,large_utility,2000.0,0.269,4714561.52,5320000000
6420,9,6.458303452,small_community,0.15,0.269,353.592114,399000
6421,9,6.452027798,small_utility,5.0,0.269,11774.95073,13300000
6422,9,6.452027798,large_community,5.0,0.269,11774.95073,13300000
6423,9,6.455914021,medium_community,2.0,0.269,4712.817235,5320000
6424,9,6.44735384,small_community,0.15,0.269,352.9926227,399000
6425,9,6.44735384,large_residential,0.015,0.269,35.29926227,39900
6426,9,6.470649719,large_community,5.0,0.27,11808.93574,13300000
6427,9,6.470649719,small_community,0.15,0.27,354.2680721,399000
6428,9,6.489174366,small_community,0.15,0.27,355.2822965,399000
6429,9,6.489174366,small_residential,0.005,0.27,11.84274322,13300
6430,9,6.472049713,large_residential,0.015,0.27,35.43447218,39900
6431,9,6.458330631,medium_utility,500.0,0.269,1178645.34,1330000000
6432,9,6.446556568,medium_community,2.0,0.269,4705.986295,5320000
6433,9,6.533463955,medium_community,2.0,0.272,4769.428687,5320000
6434,9,6.500457287,large_community,5.0,0.271,11863.33455,13300000
6435,9,6.500457287,medium_utility,500.0,0.271,1186333.455,1330000000
6436,9,6.55039835,large_residential,0.015,0.273,35.86343097,39900
6437,9,6.550838947,medium_residential,0.01,0.273,23.91056216,26600
6438,9,6.550838947,medium_utility,500.0,0.273,1195528.108,1330000000
6439,9,6.511834621,large_community,5.0,0.271,11884.09818,13300000
6440,9,6.511834621,medium_residential,0.01,0.271,23.76819637,26600
6441,9,6.496726513,large_community,5.0,0.271,11856.52589,13300000
6442,2,6.327164173,medium_utility,500.0,0.264,1154707.462,1330000000
6443,2,6.327164173,medium_residential,0.01,0.264,23.09414923,26600
6444,2,6.41819191,small_community,0.15,0.267,351.3960071,399000
