id,lat,long,state,farm_type,irradiance,lcoe,capacity,capacity_factor,array_area,available_solar_resource,generated_energy,cost
156,26.902756,-97.560516,Texas,small_residential,5.645912647,39,0.005,0.235,90.4438892,0.021276596,6.132,4782.96
157,26.903091,-97.540649,Texas,large_utility,5.561819553,39,2000,0.232,37199436.22,8620.689655,2452800,1913184000
158,25.548622,-80.42334,Florida,small_utility,5.736292362,36,5,0.239,87529.02023,20.92050209,6132,4415040
159,25.545227,-80.404236,Florida,medium_community,5.736292362,36,2,0.239,35011.60809,8.368200837,2452.8,1766016
160,26.920467,-97.560913,Texas,small_residential,5.631811142,39,0.005,0.235,90.67035186,0.021276596,6.132,4782.96
161,25.708466,-81.244385,Florida,medium_utility,5.767451763,36,500,0.24,8669339.954,2083.333333,613200,441504000
162,25.698769,-81.186737,Florida,small_utility,5.585693359,36,5,0.233,92203.67573,21.45922747,6132,4415040
163,25.565887,-80.419586,Florida,medium_community,5.733324528,36,2,0.239,35029.73172,8.368200837,2452.8,1766016
164,26.921883,-98.316711,Texas,small_community,5.664083481,39,0.15,0.236,2693.151918,0.63559322,183.96,143488.8
165,26.955227,-97.601471,Texas,large_utility,5.554929733,39,2000,0.231,37406811.21,8658.008658,2452800,1913184000
166,26.955582,-97.581573,Texas,small_community,5.638816833,39,0.15,0.235,2716.731078,0.638297872,183.96,143488.8
167,26.955929,-97.561676,Texas,medium_residential,5.638816833,39,0.01,0.235,181.1154052,0.042553191,12.264,9565.92
168,26.972588,-97.621765,Texas,small_utility,5.554929733,39,5,0.231,93517.02802,21.64502165,6132,4782960
169,26.972958,-97.601868,Texas,medium_residential,5.554929733,39,0.01,0.231,187.034056,0.043290043,12.264,9565.92
170,26.973305,-97.58197,Texas,large_residential,5.638816833,39,0.015,0.235,271.6731078,0.063829787,18.396,14348.88
171,26.973656,-97.562073,Texas,small_utility,5.638816833,39,5,0.235,90557.70262,21.27659574,6132,4782960
172,26.973995,-97.542175,Texas,small_utility,5.566592693,39,5,0.232,92918.84782,21.55172414,6132,4782960
173,26.989964,-97.642059,Texas,medium_community,5.599429607,39,2,0.233,36790.99447,8.583690987,2452.8,1913184
174,26.990318,-97.622162,Texas,small_residential,5.646305084,39,0.005,0.235,90.43760305,0.021276596,6.132,4782.96
175,26.990681,-97.602264,Texas,medium_community,5.646305084,39,2,0.235,36175.04122,8.510638298,2452.8,1913184
176,26.991032,-97.582367,Texas,medium_utility,5.628505707,39,500,0.235,9072359.956,2127.659574,613200,478296000
177,26.991379,-97.562469,Texas,large_utility,5.628505707,39,2000,0.235,36289439.82,8510.638298,2452800,1913184000
178,26.991726,-97.542542,Texas,small_utility,5.663019657,39,5,0.236,89788.59461,21.18644068,6132,4782960
179,27.00769,-97.642456,Texas,large_residential,5.602842331,39,0.015,0.233,275.7643864,0.064377682,18.396,14348.88
180,27.008053,-97.622559,Texas,medium_residential,5.646305084,39,0.01,0.235,180.8752061,0.042553191,12.264,9565.92
181,27.008411,-97.602661,Texas,small_utility,5.646305084,39,5,0.235,90437.60305,21.27659574,6132,4782960
182,27.00877,-97.582764,Texas,large_utility,5.628505707,39,2000,0.235,36289439.82,8510.638298,2452800,1913184000
183,27.009117,-97.562836,Texas,medium_residential,5.628505707,39,0.01,0.235,181.4471991,0.042553191,12.264,9565.92
184,27.009464,-97.542938,Texas,small_community,5.663019657,39,0.15,0.236,2693.657838,0.63559322,183.96,143488.8
185,27.025795,-97.622955,Texas,medium_utility,5.646305084,39,500,0.235,9043760.305,2127.659574,613200,478296000
186,27.026146,-97.603058,Texas,large_utility,5.646305084,39,2000,0.235,36175041.22,8510.638298,2452800,1913184000
187,27.026501,-97.58313,Texas,medium_utility,5.628505707,39,500,0.235,9072359.956,2127.659574,613200,478296000
188,27.02684,-97.563232,Texas,small_community,5.628505707,39,0.15,0.235,2721.707987,0.638297872,183.96,143488.8
189,27.027195,-97.543335,Texas,medium_community,5.663019657,39,2,0.236,35915.43785,8.474576271,2452.8,1913184
190,27.043888,-97.603455,Texas,small_residential,5.594479084,39,0.005,0.233,92.05887653,0.021459227,6.132,4782.96
191,27.044231,-97.583527,Texas,medium_utility,5.650405407,39,500,0.235,9037197.53,2127.659574,613200,478296000
192,27.044594,-97.563629,Texas,small_community,5.650405407,39,0.15,0.235,2711.159259,0.638297872,183.96,143488.8
193,27.044933,-97.543701,Texas,small_community,5.636257172,39,0.15,0.235,2717.96486,0.638297872,183.96,143488.8
194,27.061962,-97.583923,Texas,large_utility,5.650405407,39,2000,0.235,36148790.12,8510.638298,2452800,1913184000
195,27.062325,-97.564026,Texas,medium_utility,5.650405407,39,500,0.235,9037197.53,2127.659574,613200,478296000
196,27.06266,-97.544098,Texas,medium_utility,5.636257172,39,500,0.235,9059882.867,2127.659574,613200,478296000
197,27.063,-97.52417,Texas,medium_residential,5.636257172,39,0.01,0.235,181.1976573,0.042553191,12.264,9565.92
198,27.048206,-98.858917,Texas,medium_utility,5.823656559,39,500,0.243,8479675.192,2057.613169,613200,478296000
199,27.048847,-98.83902,Texas,large_residential,5.774646282,39,0.015,0.241,258.6783433,0.062240664,18.396,14348.88
200,27.049461,-98.819092,Texas,large_community,5.774646282,39,5,0.241,86226.11445,20.74688797,6132,4782960
201,27.079357,-97.604248,Texas,large_residential,5.557097912,39,0.015,0.232,279.232823,0.064655172,18.396,14348.88
202,27.079712,-97.58432,Texas,medium_utility,5.611459732,39,500,0.234,9138807.678,2136.752137,613200,478296000
203,27.08007,-97.564392,Texas,large_residential,5.611459732,39,0.015,0.234,274.1642303,0.064102564,18.396,14348.88
204,27.080402,-97.544495,Texas,small_community,5.675049305,39,0.15,0.236,2687.947975,0.63559322,183.96,143488.8
205,27.080753,-97.524536,Texas,medium_community,5.675049305,39,2,0.236,35839.30634,8.474576271,2452.8,1913184
206,27.065937,-98.859619,Texas,small_residential,5.823656559,39,0.005,0.243,84.79675192,0.020576132,6.132,4782.96
207,27.066566,-98.839722,Texas,small_utility,5.774646282,39,5,0.241,86226.11445,20.74688797,6132,4782960
208,27.067192,-98.819794,Texas,medium_residential,5.774646282,39,0.01,0.241,172.4522289,0.041493776,12.264,9565.92
209,27.09745,-97.584717,Texas,medium_utility,5.611459732,39,500,0.234,9138807.678,2136.752137,613200,478296000
210,27.097805,-97.564789,Texas,medium_community,5.611459732,39,2,0.234,36555.23071,8.547008547,2452.8,1913184
211,27.098141,-97.544861,Texas,large_community,5.675049305,39,5,0.236,89598.26584,21.18644068,6132,4782960
212,27.098484,-97.524933,Texas,large_utility,5.675049305,39,2000,0.236,35839306.34,8474.576271,2452800,1913184000
213,27.084297,-98.840424,Texas,small_utility,5.809427738,39,5,0.242,85355.69956,20.66115702,6132,4782960
214,27.084927,-98.820496,Texas,large_utility,5.768878937,39,2000,0.24,34668780.92,8333.333333,2452800,1913184000
215,27.108585,-97.92395,Texas,small_community,5.581815243,39,0.15,0.233,2768.032101,0.643776824,183.96,143488.8
216,27.109001,-97.904022,Texas,large_utility,5.525371075,39,2000,0.23,37770431.95,8695.652174,2452800,1913184000
217,27.109432,-97.884094,Texas,large_residential,5.525371075,39,0.015,0.23,283.2782396,0.065217391,18.396,14348.88
218,27.115196,-97.585114,Texas,medium_residential,5.618663311,39,0.01,0.234,182.5418198,0.042735043,12.264,9565.92
219,27.115551,-97.565186,Texas,medium_utility,5.618663311,39,500,0.234,9127090.99,2136.752137,613200,478296000
220,27.115887,-97.545258,Texas,small_residential,5.667853832,39,0.005,0.236,89.71201293,0.021186441,6.132,4782.96
221,27.126324,-97.924438,Texas,medium_community,5.495424747,39,2,0.229,38142.09029,8.733624454,2452.8,1913184
222,27.126755,-97.90448,Texas,medium_utility,5.585071564,39,500,0.233,9221394.092,2145.922747,613200,478296000
223,27.127178,-97.884552,Texas,medium_residential,5.585071564,39,0.01,0.233,184.4278818,0.042918455,12.264,9565.92
224,27.127579,-97.864624,Texas,medium_community,5.555887699,39,2,0.231,37400.36139,8.658008658,2452.8,1913184
225,25.735397,-80.163147,Florida,small_residential,5.679401398,36,0.005,0.237,89.15184514,0.021097046,6.132,4415.04
226,27.144066,-97.924927,Texas,large_utility,5.495424747,39,2000,0.229,38142090.29,8733.624454,2452800,1913184000
227,27.144489,-97.904968,Texas,medium_residential,5.585071564,39,0.01,0.233,184.4278818,0.042918455,12.264,9565.92
228,27.144909,-97.88504,Texas,small_utility,5.585071564,39,5,0.233,92213.94092,21.45922747,6132,4782960
229,27.142403,-98.683105,Texas,medium_community,5.689155102,39,2,0.237,35599.59993,8.438818565,2452.8,1913184
230,25.797523,-80.30899,Florida,large_utility,5.606077671,36,2000,0.234,36590325.21,8547.008547,2452800,1766016000
231,25.787216,-80.251404,Florida,small_utility,5.600361347,36,5,0.233,91962.18374,21.45922747,6132,4415040
232,25.783775,-80.232208,Florida,small_community,5.740956783,36,0.15,0.239,2623.737136,0.627615063,183.96,132451.2
233,25.780312,-80.213013,Florida,large_community,5.740956783,36,5,0.239,87457.90452,20.92050209,6132,4415040
234,27.159546,-98.703674,Texas,large_utility,5.825300217,39,2000,0.243,33909130.32,8230.452675,2452800,1913184000
235,27.160145,-98.683746,Texas,large_community,5.825300217,39,5,0.243,84772.82579,20.57613169,6132,4782960
236,27.160725,-98.663818,Texas,large_community,5.777421474,39,5,0.241,86184.69562,20.74688797,6132,4782960
237,26.051334,-81.692474,Florida,small_residential,5.747537613,36,0.005,0.239,87.35776675,0.020920502,6.132,4415.04
238,25.821678,-80.343567,Florida,small_residential,5.582433701,36,0.005,0.233,92.2575147,0.021459227,6.132,4415.04
239,25.818245,-80.324371,Florida,large_residential,5.582433701,36,0.015,0.233,276.7725441,0.064377682,18.396,13245.12
